"PLACE","YEAR","IDNO","DAYNR","PERIOD","TYPE","SPECIES","SEX","MOT/CALF","SIZE","SIZECAT","DEPTH1","DEPTH2","SURF","SURF01","SURF02","SUM","BIN01","BIN02","BIN03","BIN04","BIN05","BIN06","BIN07","BIN08","BIN09","BIN10","BIN11","BIN12","BIN13","BIN14","DIVES","DIST","TAD","SPEED","DIVE/H/6H","DIVE/H/24H","MAXDEPTH","WARN"
"CRE",2000,20691,232.00,0.00,2,"NW",2,0,400,2,8,8,,,,238,237,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,232.50,0.50,0,"NW",2,0,400,2,8,8,10530,48.750,48.750,24,15,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4.000,,,
"CRE",2000,20691,232.50,0.50,1,"NW",2,0,400,2,8,8,,,,24,1,12,11,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,232.50,0.50,2,"NW",2,0,400,2,8,8,,,,236,217,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,232.75,0.75,0,"NW",2,0,400,2,8,8,20430,94.583,94.583,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,7.667,,,
"CRE",2000,20691,232.75,0.75,1,"NW",2,0,400,2,8,8,,,,46,12,17,14,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,232.75,0.75,2,"NW",2,0,400,2,8,8,,,,240,240,0,0,0,0,0,0,0,0,0,0,0,0,0,70,,12,,,5.833,80,
"CRE",2000,20691,233.00,0.00,0,"NW",2,0,400,2,8,8,18810,87.083,87.083,30,29,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16.000,1,0.353,5.000,,,
"CRE",2000,20691,233.00,0.00,1,"NW",2,0,400,2,8,8,,,,30,16,11,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,233.00,0.00,2,"NW",2,0,400,2,8,8,,,,238,237,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,233.25,0.25,0,"NW",2,0,400,2,8,8,17370,80.417,80.417,38,26,3,2,7,0,0,0,0,0,0,0,0,0,0,,,,,6.333,,,
"CRE",2000,20691,233.25,0.25,1,"NW",2,0,400,2,8,8,,,,38,11,11,10,0,4,2,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,233.25,0.25,2,"NW",2,0,400,2,8,8,,,,309,246,15,20,28,0,0,0,0,0,0,0,0,0,0,,,,,,,,
